ProductId	ProductIdCoPurchased

1	20
1	18
1	10
2	20
2	7
2	11
2	20
2	14
2	9
2	1
2	3
2	4
2	22
2	4
2	7
2	18
2	21
3	19
3	10
3	19
3	1
3	13
3	2
3	24
3	1
3	21
3	9
3	9
3	14
3	16
3	11
3	10
3	5
3	10
4	17
4	7
4	21
4	14
4	19
4	3
4	1
4	6
4	6
4	19
4	2
4	24
4	14
4	7
4	12
4	3
4	23
4	11
4	18
5	2
5	10
5	14
5	24
5	7
5	24
5	23
5	13
5	3
5	9
6	11
6	12
6	7
6	19
6	7
6	13
6	23
6	9
6	10
6	18
6	15
7	23
7	17
7	15
7	13
7	20
7	20
7	10
7	6
7	17
7	4
7	17
7	11
7	5
7	12
8	24
8	2
8	21
8	6
8	21
8	15
8	1
8	9
8	6
8	1
8	5
8	23
8	7
8	18
8	20
8	2
9	5
9	23
9	8
9	1
9	11
9	10
9	21
9	12
9	14
9	21
9	12
10	13
11	8
11	13
11	15
11	16
11	19
11	7
11	6
11	12
11	17
11	16
11	1
11	3
11	5
11	8
12	17
12	6
12	16
12	20
12	1
12	24
12	14
12	22
12	9
12	8
12	16
12	18
12	22
12	24
12	4
13	3
13	11
13	6
13	16
13	4
13	10
13	20
14	13
14	23
14	11
14	10
14	10
14	17
14	1
14	22
14	7
14	15
14	15
14	9
14	16
14	23
14	6
14	8
14	12
14	10
14	1
15	21
15	6
15	11
16	22
16	3
16	17
16	10
16	18
16	11
17	1
17	4
17	15
17	1
17	20
18	21
18	6
18	9
18	24
18	12
18	5
18	15
19	21
19	11
19	22
20	16
20	22
20	12
20	3
20	11
20	16
20	1
20	5
20	23
20	6
20	1
20	19
20	9
20	23
20	14
20	4
20	7
20	23
20	18
20	16
20	5
20	19
21	22
21	9
21	18
21	3
21	19
21	14
21	20
21	19
22	13
22	6
22	20
22	7
22	11
22	16
22	11
22	17
22	18
22	8
23	9
24	9
24	9
24	7
24	9
24	5
24	14
24	16
24	11
24	7
24	11
24	14
24	8
24	8
24	12
24	8
24	7
24	7
24	9
24	21
24	5
24	9
24	23
24	21
25	1
25	11
25	9
25	6
25	19
25	16
25	15
25	12
25	17
25	17
25	19
25	6
25	14
25	4
25	3
25	1
25	21
25	16
25	7
25	13
25	24
